Front,Back,Tags
"Translate gotować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Cook:: Ja: gotuję, Ty: gotujesz, On/ona/ono: gotuje, My: gotujemy, Wy: gotujecie, Oni/one: gotują",verb active_recall C4 full_paradigm
"Translate pamiętać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Remember:: Ja: pamiętam, Ty: pamiętasz, On/ona/ono: pamięta, My: pamiętamy, Wy: pamiętacie, Oni/one: pamiętają",verb active_recall C1 full_paradigm
"Translate zgadzać się
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Agree:: Ja: zgadzam się, Ty: zgadzasz się, On/ona/ono: zgadza się, My: zgadzamy się, Wy: zgadzacie się, Oni/one: zgadzają się",verb active_recall C1 full_paradigm
"Translate czytać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Read:: Ja: czytam, Ty: czytasz, On/ona/ono: czyta, My: czytamy, Wy: czytacie, Oni/one: czytają",verb active_recall C1 full_paradigm
"Translate słuchać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Listen:: Ja: słucham, Ty: słuchasz, On/ona/ono: słucha, My: słuchamy, Wy: słuchacie, Oni/one: słuchają",verb active_recall C1 full_paradigm
"Translate zostać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Become:: Ja: zostanę, Ty: zostaniesz, On/ona/ono: zostanie, My: zostaniemy, Wy: zostaniecie, Oni/one: zostaną",verb active_recall C4 full_paradigm
"Translate kupować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Buy:: Ja: kupuję, Ty: kupujesz, On/ona/ono: kupuje, My: kupujemy, Wy: kupujecie, Oni/one: kupują",verb active_recall C4 full_paradigm
"Translate uczyć się
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Learn / study:: Ja: uczę się, Ty: uczysz się, On/ona/ono: uczy się, My: uczymy się, Wy: uczycie się, Oni/one: uczą się",verb active_recall C3 full_paradigm
"Translate woleć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Prefer:: Ja: wolę, Ty: wolisz, On/ona/ono: woli, My: wolimy, Wy: wolicie, Oni/one: wolą",verb active_recall C3 full_paradigm
"Translate zgubić
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Lose:: Ja: zgubię, Ty: zgubisz, On/ona/ono: zgubi, My: zgubimy, Wy: zgubicie, Oni/one: zgubią",verb active_recall C3 full_paradigm
"Translate rozmawiać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Converse:: Ja: rozmawiam, Ty: rozmawiasz, On/ona/ono: rozmawia, My: rozmawiamy, Wy: rozmawiacie, Oni/one: rozmawiają",verb active_recall C1 full_paradigm
"Translate zamykać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Close:: Ja: zamykam, Ty: zamykasz, On/ona/ono: zamyka, My: zamykamy, Wy: zamykacie, Oni/one: zamykają",verb active_recall C1 full_paradigm
"Translate przyjechać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Arrive:: Ja: przyjadę, Ty: przyjedziesz, On/ona/ono: przyjedzie, My: przyjedziemy, Wy: przyjedziecie, Oni/one: przyjadą",verb active_recall C4 full_paradigm
"Translate być
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Be:: Ja: jestem, Ty: jesteś, On/ona/ono: jest, My: jesteśmy, Wy: jesteście, Oni/one: są",verb active_recall irregular full_paradigm
"Translate móc
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Can:: Ja: mogę, Ty: możesz, On/ona/ono: może, My: możemy, Wy: możecie, Oni/one: mogą",verb active_recall irregular full_paradigm
"Translate wjechać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Drive into:: Ja: wjadę, Ty: wjedziesz, On/ona/ono: wjedzie, My: wjedziemy, Wy: wjedziecie, Oni/one: wjadą",verb active_recall C4 full_paradigm
"Translate widzieć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","See:: Ja: widzę, Ty: widzisz, On/ona/ono: widzi, My: widzimy, Wy: widzicie, Oni/one: widzą",verb active_recall C3 full_paradigm
"Translate znajdować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Find:: Ja: znajduję, Ty: znajdujesz, On/ona/ono: znajduje, My: znajdujemy, Wy: znajdujecie, Oni/one: znajdują",verb active_recall C4 full_paradigm
"Translate kosztować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Cost:: Ja: kosztuję, Ty: kosztujesz, On/ona/ono: kosztuje, My: kosztujemy, Wy: kosztujecie, Oni/one: kosztują",verb active_recall C4 full_paradigm
"Translate lecieć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Fly:: Ja: lecę, Ty: lecisz, On/ona/ono: leci, My: lecimy, Wy: lecicie, Oni/one: lecą",verb active_recall C3 full_paradigm
"Translate uważać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Consider / think:: Ja: uważam, Ty: uważasz, On/ona/ono: uważa, My: uważamy, Wy: uważacie, Oni/one: uważają",verb active_recall C1 full_paradigm
"Translate odpoczywać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Rest:: Ja: odpoczywam, Ty: odpoczywasz, On/ona/ono: odpoczywa, My: odpoczywamy, Wy: odpoczywacie, Oni/one: odpoczywają",verb active_recall C1 full_paradigm
"Translate dziać się
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Happen:: Ja: dzieję się, Ty: dziejesz się, On/ona/ono: dzieje się, My: dziejemy się, Wy: dziejecie się, Oni/one: dzieją się",verb active_recall C4 full_paradigm
"Translate mówić
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Speak:: Ja: mówię, Ty: mówisz, On/ona/ono: mówi, My: mówimy, Wy: mówicie, Oni/one: mówią",verb active_recall C3 full_paradigm
"Translate myć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Wash:: Ja: myję, Ty: myjesz, On/ona/ono: myje, My: myjemy, Wy: myjecie, Oni/one: myją",verb active_recall C4 full_paradigm
"Translate zależeć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Depend on:: Ja: zależę, Ty: zależysz, On/ona/ono: zależy, My: zależymy, Wy: zależycie, Oni/one: zależą",verb active_recall C3 full_paradigm
"Translate dawać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Give:: Ja: daję, Ty: dajesz, On/ona/ono: daje, My: dajemy, Wy: dajecie, Oni/one: dają",verb active_recall C4 full_paradigm
"Translate myśleć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Think:: Ja: myślę, Ty: myślisz, On/ona/ono: myśli, My: myxlismy, Wy: myślicie, Oni/one: myślą",verb active_recall C3 full_paradigm
"Translate organizować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Organize:: Ja: organizuję, Ty: organizujesz, On/ona/ono: organizuje, My: organizujemy, Wy: organizujecie, Oni/one: organizują",verb active_recall C4 full_paradigm
"Translate czuć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Feel:: Ja: czuję, Ty: czujesz, On/ona/ono: czuje, My: czujemy, Wy: czujecie, Oni/one: czują",verb active_recall C4 full_paradigm
"Translate jechać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Drive:: Ja: jadę, Ty: jedziesz, On/ona/ono: jedzie, My: jedziemy, Wy: jedziecie, Oni/one: jadą",verb active_recall C4 full_paradigm
"Translate pomagać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Help:: Ja: pomagam, Ty: pomagasz, On/ona/ono: pomaga, My: pomagamy, Wy: pomagacie, Oni/one: pomagają",verb active_recall C1 full_paradigm
"Translate wracać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Return:: Ja: wracam, Ty: wracasz, On/ona/ono: wraca, My: wracamy, Wy: wracacie, Oni/one: wracają",verb active_recall C1 full_paradigm
"Translate wiedzieć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Know fact:: Ja: wiem, Ty: wiesz, On/ona/ono: wie, My: wemy, Wy: wiecie, Oni/one: wiedzą",verb active_recall irregular full_paradigm
"Translate zapomnieć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Forget:: Ja: zapomnę, Ty: zapomnisz, On/ona/ono: zapomni, My: zapomniemy, Wy: zapomniecie, Oni/one: zapomną",verb active_recall C3 full_paradigm
"Translate chodzić
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Go:: Ja: chodzę, Ty: chodzisz, On/ona/ono: chodzi, My: chodzimy, Wy: chodzicie, Oni/one: chodzą",verb active_recall C3 full_paradigm
"Translate robić
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Do / make:: Ja: robię, Ty: robisz, On/ona/ono: robi, My: robimy, Wy: robicie, Oni/one: robią",verb active_recall C3 full_paradigm
"Translate szanować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Respect:: Ja: szanuję, Ty: szanujesz, On/ona/ono: szanuje, My: szanujemy, Wy: szanujecie, Oni/one: szanują",verb active_recall C4 full_paradigm
"Translate grać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Play:: Ja: gram, Ty: grasz, On/ona/ono: gra, My: gramy, Wy: gracie, Oni/one: grają",verb active_recall C1 full_paradigm
"Translate sprzedawać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Sell:: Ja: sprzedaję, Ty: dajesz, On/ona/ono: sprzedaje, My: sprzedajemy, Wy: sprzedajecie, Oni/one: sprzedają",verb active_recall C4 full_paradigm
"Translate pić
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Drink:: Ja: piję, Ty: pijesz, On/ona/ono: pije, My: pijemy, Wy: pijecie, Oni/one: piją",verb active_recall C4 full_paradigm
"Translate zmieniać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Change:: Ja: zmieniam, Ty: zmieniasz, On/ona/ono: zmienia, My: zmieniamy, Wy: zmieniacie, Oni/one: zmieniają",verb active_recall C1 full_paradigm
"Translate mieć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Have:: Ja: mam, Ty: masz, On/ona/ono: ma, My: mamy, Wy: macie, Oni/one: mają",verb active_recall C1 full_paradigm
"Translate dziękować
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Thank:: Ja: dziękuję, Ty: dziękujesz, On/ona/ono: dziękuje, My: dziękujemy, Wy: dziękujecie, Oni/one: dziękują",verb active_recall C4 full_paradigm
"Translate lubić
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Like:: Ja: lubię, Ty: lubisz, On/ona/ono: lubi, My: lubimy, Wy: lubicie, Oni/one: lubią",verb active_recall C3 full_paradigm
"Translate pytać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Ask:: Ja: pytam, Ty: pytasz, On/ona/ono: pyta, My: pytamy, Wy: pytacie, Oni/one: pytają",verb active_recall C1 full_paradigm
"Translate żyć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Live:: Ja: żyję, Ty: żyjesz, On/ona/ono: żyje, My: żyjemy, Wy: żyjecie, Oni/one: żyją",verb active_recall C4 full_paradigm
"Translate wpływać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Influence:: Ja: wpływam, Ty: wpływasz, On/ona/ono: wpływa, My: wpływamy, Wy: wpływacie, Oni/one: wpływają",verb active_recall C1 full_paradigm
"Translate pisać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Write:: Ja: piszę, Ty: piszesz, On/ona/ono: pisze, My: piszemy, Wy: piszecie, Oni/one: piszą",verb active_recall C4 full_paradigm
"Translate dojechać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Reach destination:: Ja: dojadę, Ty: dojedziesz, On/ona/ono: dojedzie, My: dojedziemy, Wy: dojedziecie, Oni/one: dojadą",verb active_recall C4 full_paradigm
"Translate bać się
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Fear:: Ja: boję się, Ty: boisz się, On/ona/ono: boi się, My: boimy się, Wy: boicie się, Oni/one: boją się",verb active_recall C3 full_paradigm
"Translate iść
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Walk:: Ja: idę, Ty: idziesz, On/ona/ono: idzie, My: idziemy, Wy: idziecie, Oni/one: idą",verb active_recall C4 full_paradigm
"Translate płacić
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Pay:: Ja: płacę, Ty: płacisz, On/ona/ono: płaci, My: płacimy, Wy: płacicie, Oni/one: płacą",verb active_recall C3 full_paradigm
"Translate wyjaśniać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Explain:: Ja: wyjaśniam, Ty: wyjaśniasz, On/ona/ono: wyjaśnia, My: wyjaśniamy, Wy: wyjaśniacie, Oni/one: wyjaśniają",verb active_recall C1 full_paradigm
"Translate kochać
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Love:: Ja: kocham, Ty: kochasz, On/ona/ono: kocha, My: kochamy, Wy: kochacie, Oni/one: kochają",verb active_recall C1 full_paradigm
"Translate warto
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","It is worth:: Ja: -, Ty: -, On/ona/ono: warto, My: -, Wy: -, Oni/one: -",verb active_recall impersonal full_paradigm
"Translate rozumieć
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Understand:: Ja: rozumiem, Ty: rozumiesz, On/ona/ono: rozumie, My: rozumiemy, Wy: rozumiecie, Oni/one: rozumieją",verb active_recall C2 full_paradigm
"Translate jeść
Conjugate it in the present tense:

Ja:
Ty:
On/ona/ono:
My:
Wy:
Oni/one:","Eat:: Ja: jem, Ty: jesz, On/ona/ono: je, My: jemy, Wy: jecie, Oni/one: jedzą",verb active_recall irregular full_paradigm
