"Translate: (masc) 

niemiecki",german,adjective active_recall theme::Nationalities paradigm
"Translate: (masc) 

lekki",light (weight),adjective active_recall theme::Descriptions_&_Sizes paradigm
"Give all forms:

narrow","Masculine: wąski
Feminine: wąska
Neuter: wąskie",adjective active_recall theme::Descriptions_&_Sizes paradigm
"Give all forms:

honest","Masculine: uczciwy
Feminine: uczciwa
Neuter: uczciwe",adjective active_recall theme::Intellectual_&_Personality paradigm
"Translate: (masc) 

niski",short / low,adjective active_recall theme::Descriptions_&_Sizes paradigm
"Give all forms:

american","Masculine: amerykański
Feminine: amerykańska
Neuter: amerykańskie",adjective active_recall theme::Nationalities paradigm
"Translate: (masc) 

żółty",yellow,adjective active_recall theme::Colors paradigm
"Translate: (masc) 

publiczny",public,adjective active_recall theme::Abstract_&_Mental_States paradigm
"Give all forms:

new","Masculine: nowy
Feminine: nowa
Neuter: nowe",adjective active_recall theme::Descriptions_&_Sizes paradigm
"Give all forms:

nice / pleasant","Masculine: miły
Feminine: miła
Neuter: miłe",adjective active_recall theme::Opinions_&_Feelings paradigm
"Translate: (masc) 

zmęczony",tired,adjective active_recall theme::Daily_Life_&_State paradigm
"Give all forms:

bitter","Masculine: gorzki
Feminine: gorzka
Neuter: gorzkie",adjective active_recall theme::Sensory_&_Physical paradigm
"Translate: (masc) 

bezpieczny",safe,adjective active_recall theme::Opinions_&_Feelings paradigm
"Give all forms:

easy","Masculine: łatwy
Feminine: łatwa
Neuter: łatwe",adjective active_recall theme::Daily_Life_&_State paradigm
"Translate: (masc) 

ciężki",heavy,adjective active_recall theme::Descriptions_&_Sizes paradigm
"Translate: (masc) 

suchy",dry,adjective active_recall theme::Sensory_&_Physical paradigm
"Translate: (masc) 

stary",old,adjective active_recall theme::Descriptions_&_Sizes paradigm
"Give all forms:

official / formal","Masculine: oficjalny
Feminine: oficjalna
Neuter: oficjalne",adjective active_recall theme::Abstract_&_Mental_States paradigm
"Give all forms:

future / next","Masculine: przyszły
Feminine: przyszła
Neuter: przyszłe",adjective active_recall theme::Time_&_Frequency paradigm
"Translate: (masc) 

uczciwy",honest,adjective active_recall theme::Intellectual_&_Personality paradigm
"Give all forms:

sharp / spicy","Masculine: ostry
Feminine: ostra
Neuter: ostre",adjective active_recall theme::Sensory_&_Physical paradigm
"Translate: (masc) 

wolny",slow,adjective active_recall theme::Daily_Life_&_State paradigm
"Translate: (masc) 

zeszły",past / last,adjective active_recall theme::Time_&_Frequency paradigm
"Translate: (masc) 

ostry",sharp / spicy,adjective active_recall theme::Sensory_&_Physical paradigm
"Give all forms:

beautiful","Masculine: piękny
Feminine: piękna
Neuter: piękne",adjective active_recall theme::Opinions_&_Feelings paradigm
"Translate: (masc) 

słodki",sweet,adjective active_recall theme::Sensory_&_Physical paradigm
"Give all forms:

old","Masculine: stary
Feminine: stara
Neuter: stare",adjective active_recall theme::Descriptions_&_Sizes paradigm
"Translate: (masc) 

społeczny",social / civic,adjective active_recall theme::Abstract_&_Mental_States paradigm
"Translate: (masc) 

czerwony",red,adjective active_recall theme::Colors paradigm
"Give all forms:

traditional","Masculine: tradycyjny
Feminine: tradycyjna
Neuter: tradycyjne",adjective active_recall theme::Abstract_&_Mental_States paradigm
"Translate: (masc) 

nudny",boring,adjective active_recall theme::Opinions_&_Feelings paradigm
"Translate: (masc) 

ciemny",dark,adjective active_recall theme::Colors paradigm
"Translate: (masc) 

angielski",english,adjective active_recall theme::Nationalities paradigm
"Translate: (masc) 

nowy",new,adjective active_recall theme::Descriptions_&_Sizes paradigm
"Translate: (masc) 

bogaty",rich,adjective active_recall theme::Daily_Life_&_State paradigm
"Translate: (masc) 

gorzki",bitter,adjective active_recall theme::Sensory_&_Physical paradigm
"Give all forms:

sweet","Masculine: słodki
Feminine: słodka
Neuter: słodkie",adjective active_recall theme::Sensory_&_Physical paradigm
"Translate: (masc) 

prywatny",private,adjective active_recall theme::Abstract_&_Mental_States paradigm
"Translate: (masc) 

smutny",sad,adjective active_recall theme::Daily_Life_&_State paradigm
"Translate: (masc) 

głupi",stupid,adjective active_recall theme::Intellectual_&_Personality paradigm
"Translate: (masc) 

mądry",wise / smart,adjective active_recall theme::Intellectual_&_Personality paradigm
"Translate: (masc) 

grzeczny",polite / well-behaved,adjective active_recall theme::Intellectual_&_Personality paradigm
"Give all forms:

poor","Masculine: biedny
Feminine: biedna
Neuter: biedne",adjective active_recall theme::Daily_Life_&_State paradigm
"Give all forms:

busy / occupied","Masculine: zajęty
Feminine: zajęta
Neuter: zajęte",adjective active_recall theme::Daily_Life_&_State paradigm
"Give all forms:

important","Masculine: ważny
Feminine: ważna
Neuter: ważne",adjective active_recall theme::Opinions_&_Feelings paradigm
"Give all forms:

closed","Masculine: zamknięty
Feminine: zamknięta
Neuter: zamknięte",adjective active_recall theme::Daily_Life_&_State paradigm
"Translate: (masc) 

brązowy",brown,adjective active_recall theme::Colors paradigm
"Give all forms:

short (length)","Masculine: krótki
Feminine: krótka
Neuter: krótkie",adjective active_recall theme::Descriptions_&_Sizes paradigm
