głowa,Head,noun active_recall Body parts Feminine
Translate: This January,ten styczeń,noun active_recall Months Masculine Inanimate recognition
Translate: This Week,ten tydzień,noun active_recall Times Masculine Inanimate recognition
matka,Mother,noun active_recall Family members Feminine
Translate: This Car,ten samochód,noun active_recall Transport Masculine Inanimate recognition
zdjęcie,Photograph,noun active_recall Hobby nouns Neuter
zeszyt,Notebook,noun active_recall Education & science Masculine Inanimate
Translate: This Wednesday,ta środa,noun active_recall Days Feminine recognition
Stany Zjednoczone,United States,noun active_recall Countries Masculine Inanimate
noga,Leg / foot,noun active_recall Body parts Feminine
sklep,Store / shop,noun active_recall Places Masculine Inanimate
Translate: This Leg / foot,ta noga,noun active_recall Body parts Feminine recognition
Translate: This Future,ta przyszłość,noun active_recall Times Feminine recognition
Translate: This Meat,to mięso,noun active_recall Foods Neuter recognition
Włochy,Italy,noun active_recall Countries Masculine Inanimate
Translate: This Hairdresser,ten fryzjer,noun active_recall Jobs Masculine Personal recognition
Translate: This Poland,ta Polska,noun active_recall Countries Feminine recognition
Translate: This Sun,to słońce,noun active_recall Weather & Nature Neuter recognition
oko,Eye,noun active_recall Body parts Neuter
Anglia,England,noun active_recall Countries Feminine
Hiszpania,Spain,noun active_recall Countries Feminine
ojciec,Father,noun active_recall Family members Masculine Personal
Translate: This Store / shop,ten sklep,noun active_recall Places Masculine Inanimate recognition
komputer,Computer,noun active_recall Electronics Masculine Inanimate
Translate: This Discount,ta zniżka,noun active_recall Shopping items Feminine recognition
ryba,Fish,noun active_recall Animals Feminine
Translate: This Horse,ten koń,noun active_recall Animals Masculine Animal recognition
listopad,November,noun active_recall Months Masculine Inanimate
Translate: This Lawyer,ten prawnik,noun active_recall Jobs Masculine Personal recognition
Translate: This Happiness,to szczęście,noun active_recall Feelings & Emotions Neuter recognition
Translate: This Spain,ta Hiszpania,noun active_recall Countries Feminine recognition
Translate: This Internet,ten internet,noun active_recall Leisure & culture Masculine Inanimate recognition
Translate: This Tram,ten tramwaj,noun active_recall Transport Masculine Inanimate recognition
ręka,Hand / arm,noun active_recall Body parts Feminine
zniżka,Discount,noun active_recall Shopping items Feminine
gość,Guest,noun active_recall People Masculine Personal
Translate: This Fear,ten strach,noun active_recall Feelings & Emotions Masculine Inanimate recognition
słońce,Sun,noun active_recall Weather & Nature Neuter
kurtka,Jacket,noun active_recall Clothes Feminine
policja,Police,noun active_recall Jobs Feminine
mąż,Husband,noun active_recall Family members Masculine Personal
drzwi,Door,noun active_recall Household items Feminine
Translate: This Year,ten rok,noun active_recall Times Masculine Inanimate recognition
Translate: This Film / movie,ten film,noun active_recall Hobby nouns Masculine Inanimate recognition
apteka,Pharmacy,noun active_recall Jobs Feminine
sobota,Saturday,noun active_recall Days Feminine
jabłko,Apple,noun active_recall Foods Neuter
wiatr,Wind,noun active_recall Weather & Nature Masculine Inanimate
drzewo,Tree,noun active_recall Weather & Nature Neuter
Translate: This News / information,ta wiadomości,noun active_recall Leisure & culture Feminine recognition
teatr,Theater,noun active_recall Leisure & culture Masculine Inanimate
Translate: This Game,ta gra,noun active_recall Hobby nouns Feminine recognition
Translate: This Hospital,ten szpital,noun active_recall Places Masculine Inanimate recognition
Translate: This Brother,ten brat,noun active_recall Family members Masculine Personal recognition
Translate: This Passenger,ten pasażer,noun active_recall People Masculine Personal recognition
Polish Noun,English Translation,noun active_recall Thematic Group Gender Category
państwo,State / country,noun active_recall Abstract concepts & state Neuter
Translate: This Sport,ten sport,noun active_recall Hobby nouns Masculine Inanimate recognition
ser,Cheese,noun active_recall Foods Masculine Inanimate
Translate: This Doctor,ten lekarz,noun active_recall Jobs Masculine Personal recognition
drukarka,Printer,noun active_recall Electronics Feminine
Translate: This Police,ta policja,noun active_recall Jobs Feminine recognition
Translate: This Bird,ten ptak,noun active_recall Animals Masculine Animal recognition
kucharz,Chef / cook,noun active_recall Jobs Masculine Personal
Translate: This Notebook,ten zeszyt,noun active_recall Education & science Masculine Inanimate recognition
telefon,Phone,noun active_recall Electronics Masculine Inanimate
Translate: This June,ten czerwiec,noun active_recall Months Masculine Inanimate recognition
usługa,Service / favor,noun active_recall Jobs Feminine
Translate: This Son,ten syn,noun active_recall Family members Masculine Personal recognition
sekunda,Second,noun active_recall Times Feminine
Translate: This Husband,ten mąż,noun active_recall Family members Masculine Personal recognition
Translate: This Cat,ten kot,noun active_recall Animals Masculine Animal recognition
rząd,Government,noun active_recall Abstract concepts & state Masculine Inanimate
Translate: This Product,ten produkt,noun active_recall Shopping items Masculine Inanimate recognition
gra,Game,noun active_recall Hobby nouns Feminine
Translate: This Chef / cook,ten kucharz,noun active_recall Jobs Masculine Personal recognition
zasada,Rule / principle,noun active_recall Abstract concepts & state Feminine
Translate: This Apple,to jabłko,noun active_recall Foods Neuter recognition
Translate: This Holiday / day off,ten urlop,noun active_recall Days Masculine Inanimate recognition
Translate: This Vegetable,to warzywo,noun active_recall Foods Neuter recognition
maj,May,noun active_recall Months Masculine Inanimate
mleko,Milk,noun active_recall Foods Neuter
Translate: This Weather,ta pogoda,noun active_recall Weather & Nature Feminine recognition
szpital,Hospital,noun active_recall Places Masculine Inanimate
autobus,Bus,noun active_recall Transport Masculine Inanimate
miesiąc,Month,noun active_recall Times Masculine Inanimate
przyszłość,Future,noun active_recall Times Feminine
Translate: This Human,ten człowiek,noun active_recall People Masculine Personal recognition
piątek,Friday,noun active_recall Days Masculine Inanimate
Translate: This English Translation, Polish Noun,noun active_recall Thematic Group Gender Category recognition
Translate: This July,ten lipiec,noun active_recall Months Masculine Inanimate recognition
przyjaciel,Friend,noun active_recall People Masculine Personal
Translate: This Back,ten plecy,noun active_recall Body parts Masculine Inanimate recognition
film,Film / movie,noun active_recall Hobby nouns Masculine Inanimate
ekran,Screen,noun active_recall Electronics Masculine Inanimate
matematyka,Mathematics,noun active_recall Education & science Feminine
Translate: This Society,to społeczeństwo,noun active_recall Abstract concepts & state Neuter recognition
Translate: This Sadness,ten smutek,noun active_recall Feelings & Emotions Masculine Inanimate recognition
Translate: This Camera,ten aparat,noun active_recall Electronics Masculine Inanimate recognition
dupek,Asshole,noun active_recall Curses Masculine
suka,Bitch,noun active_recall Curses Feminine
Translate: This Bill / invoice,ten rachunek,noun active_recall Shopping items Masculine Inanimate recognition
człowiek,Human,noun active_recall People Masculine Personal
Translate: This Daughter,ta córka,noun active_recall Family members Feminine recognition
klucz,Key,noun active_recall Household items Masculine Inanimate
woda,Water,noun active_recall Foods Feminine
Translate: This August,ten sierpień,noun active_recall Months Masculine Inanimate recognition
Translate: This Student,ten student,noun active_recall People Masculine Personal recognition
Translate: This Subject / school course,ten przedmiot,noun active_recall Education & science Masculine Inanimate recognition
Translate: This Coffee,ta kawa,noun active_recall Foods Feminine recognition
telewizor,Television,noun active_recall Electronics Masculine Inanimate
łóżko,Bed,noun active_recall Household items Neuter
aparat,Camera,noun active_recall Electronics Masculine Inanimate
kosmetyczka,Beautician,noun active_recall Jobs Feminine
Translate: This Concert,ten koncert,noun active_recall Leisure & culture Masculine Inanimate recognition
hobby,Hobby,noun active_recall Hobby nouns Neuter
Translate: This Price,ta cena,noun active_recall Shopping items Feminine recognition
Translate: This Jacket,ta kurtka,noun active_recall Clothes Feminine recognition
Translate: This Train,ten pociąg,noun active_recall Transport Masculine Inanimate recognition
Translate: This United States,ten Stany Zjednoczone,noun active_recall Countries Masculine Inanimate recognition
Translate: This Mother,ta matka,noun active_recall Family members Feminine recognition
urzędnik,Office worker,noun active_recall Jobs Masculine Personal
środa,Wednesday,noun active_recall Days Feminine
krzesło,Chair,noun active_recall Household items Neuter
Translate: This Milk,to mleko,noun active_recall Foods Neuter recognition
Translate: This Asshole,ten dupek,noun active_recall Curses Masculine recognition
Translate: This Weekend,ten weekend,noun active_recall Days Masculine Inanimate recognition
mysz,Mouse,noun active_recall Animals Feminine
cena,Price,noun active_recall Shopping items Feminine
Translate: This State / country,to państwo,noun active_recall Abstract concepts & state Neuter recognition
Translate: This Teacher,ten nauczyciel,noun active_recall Jobs Masculine Personal recognition
kreytyn,Jerk,noun active_recall Curses Masculine
kwiecień,April,noun active_recall Months Masculine Inanimate
Translate: This Woman,ta kobieta,noun active_recall People Feminine recognition
miłość,Love,noun active_recall Feelings & Emotions Feminine
styczeń,January,noun active_recall Months Masculine Inanimate
poniedziałek,Monday,noun active_recall Days Masculine Inanimate
lotnisko,Airport,noun active_recall Places Neuter
Niemcy,Germany,noun active_recall Countries Masculine Inanimate
Translate: This Cow,ta krowa,noun active_recall Animals Feminine recognition
Translate: This Bus,ten autobus,noun active_recall Transport Masculine Inanimate recognition
Translate: This Theater,ten teatr,noun active_recall Leisure & culture Masculine Inanimate recognition
śniadanie,Breakfast,noun active_recall Foods Neuter
biuro,Office,noun active_recall Places Neuter
Translate: This Ear,to ucho,noun active_recall Body parts Neuter recognition
chleb,Bread,noun active_recall Foods Masculine Inanimate
Translate: This Office,to biuro,noun active_recall Places Neuter recognition
Translate: This Television,ten telewizor,noun active_recall Electronics Masculine Inanimate recognition
rok,Year,noun active_recall Times Masculine Inanimate
produkt,Product,noun active_recall Shopping items Masculine Inanimate
stół,Table,noun active_recall Household items Masculine Inanimate
gniew,Anger,noun active_recall Feelings & Emotions Masculine Inanimate
Translate: This Printer,ta drukarka,noun active_recall Electronics Feminine recognition
poczta,Post office,noun active_recall Jobs Feminine
Translate: This Guest,ten gość,noun active_recall People Masculine Personal recognition
październik,October,noun active_recall Months Masculine Inanimate
radio,Radio,noun active_recall Electronics Neuter
Translate: This Water,ta woda,noun active_recall Foods Feminine recognition
Translate: This Dick,ten chuj,noun active_recall Curses Masculine recognition
Translate: This Exhibition,ta wystawa,noun active_recall Leisure & culture Feminine recognition
Translate: This Window,to okno,noun active_recall Household items Neuter recognition
Translate: This Sister,ta siostra,noun active_recall Family members Feminine recognition
Translate: This Radio,to radio,noun active_recall Electronics Neuter recognition
Translate: This Minute,ta minuta,noun active_recall Times Feminine recognition
historia,History,noun active_recall Education & science Feminine
weekend,Weekend,noun active_recall Days Masculine Inanimate
Czas,Time,noun active_recall Times Masculine Inanimate
Translate: This Anger,ten gniew,noun active_recall Feelings & Emotions Masculine Inanimate recognition
Translate: This Newspaper / press,ta gazeta,noun active_recall Leisure & culture Feminine recognition
menedżer,Manager,noun active_recall Jobs Masculine Personal
student,Student,noun active_recall People Masculine Personal
Translate: This Problem,ten problem,noun active_recall Abstract concepts & state Masculine Inanimate recognition
Translate: This Airport,to lotnisko,noun active_recall Places Neuter recognition
Translate: This Bread,ten chleb,noun active_recall Foods Masculine Inanimate recognition
wtorek,Tuesday,noun active_recall Days Masculine Inanimate
Translate: This Sunday,ta niedziela,noun active_recall Days Feminine recognition
Translate: This Mouse,ta mysz,noun active_recall Animals Feminine recognition
Translate: This School,ta szkoła,noun active_recall Places Feminine recognition
Translate: This Bitch,ta suka,noun active_recall Curses Feminine recognition
koszula,Shirt,noun active_recall Clothes Feminine
urlop,Holiday / day off,noun active_recall Days Masculine Inanimate
Translate: This Bicycle,ten rower,noun active_recall Transport Masculine Inanimate recognition
Translate: This Rain,ten deszcz,noun active_recall Weather & Nature Masculine Inanimate recognition
wystawa,Exhibition,noun active_recall Leisure & culture Feminine
luty,February,noun active_recall Months Masculine Inanimate
internet,Internet,noun active_recall Leisure & culture Masculine Inanimate
szczęście,Happiness,noun active_recall Feelings & Emotions Neuter
warzywo,Vegetable,noun active_recall Foods Neuter
Translate: This Furniture,ten meble,noun active_recall Household items Masculine Inanimate recognition
Translate: This Jerk,ten kreytyn,noun active_recall Curses Masculine recognition
strach,Fear,noun active_recall Feelings & Emotions Masculine Inanimate
muzyka,Music,noun active_recall Hobby nouns Feminine
sukienka,Dress,noun active_recall Clothes Feminine
Translate: This Mathematics,ta matematyka,noun active_recall Education & science Feminine recognition
Translate: This Dog,ten pies,noun active_recall Animals Masculine Animal recognition
podróż,Travel,noun active_recall Hobby nouns Feminine
Translate: This Bag,ta torba,noun active_recall Shopping items Feminine recognition
marzec,March,noun active_recall Months Masculine Inanimate
Translate: This Breakfast,to śniadanie,noun active_recall Foods Neuter recognition
Translate: This Service / favor,ta usługa,noun active_recall Jobs Feminine recognition
książka,Book,noun active_recall Hobby nouns Feminine
Translate: This March,ten marzec,noun active_recall Months Masculine Inanimate recognition
Translate: This Germany,ten Niemcy,noun active_recall Countries Masculine Inanimate recognition
Translate: This Colleague,ten kolega,noun active_recall People Masculine Personal recognition
Translate: This Trousers / pants,ten spodnie,noun active_recall Clothes Masculine Inanimate recognition
Translate: This Father,ten ojciec,noun active_recall Family members Masculine Personal recognition
meble,Furniture,noun active_recall Household items Masculine Inanimate
społeczeństwo,Society,noun active_recall Abstract concepts & state Neuter
Translate: This Monday,ten poniedziałek,noun active_recall Days Masculine Inanimate recognition
minuta,Minute,noun active_recall Times Feminine
godzina,Hour,noun active_recall Times Feminine
Translate: This Wife,ta żona,noun active_recall Family members Feminine recognition
hotel,Hotel,noun active_recall Places Masculine Inanimate
lipiec,July,noun active_recall Months Masculine Inanimate
siostra,Sister,noun active_recall Family members Feminine
Translate: This Hand / arm,ta ręka,noun active_recall Body parts Feminine recognition
Translate: This Beautician,ta kosmetyczka,noun active_recall Jobs Feminine recognition
Translate: This Shirt,ta koszula,noun active_recall Clothes Feminine recognition
Translate: This Phone,ten telefon,noun active_recall Electronics Masculine Inanimate recognition
Translate: This Love,ta miłość,noun active_recall Feelings & Emotions Feminine recognition
Translate: This Photograph,to zdjęcie,noun active_recall Hobby nouns Neuter recognition
Translate: This Screen,ten ekran,noun active_recall Electronics Masculine Inanimate recognition
pies,Dog,noun active_recall Animals Masculine Animal
Translate: This Second,ta sekunda,noun active_recall Times Feminine recognition
pieniądze,Money,noun active_recall Shopping items Masculine Inanimate
Translate: This Fish,ta ryba,noun active_recall Animals Feminine recognition
Translate: This Key,ten klucz,noun active_recall Household items Masculine Inanimate recognition
Translate: This Head,ta głowa,noun active_recall Body parts Feminine recognition
Translate: This Table,ten stół,noun active_recall Household items Masculine Inanimate recognition
Translate: This December,ten grudzień,noun active_recall Months Masculine Inanimate recognition
rower,Bicycle,noun active_recall Transport Masculine Inanimate
kot,Cat,noun active_recall Animals Masculine Animal
Translate: This Computer,ten komputer,noun active_recall Electronics Masculine Inanimate recognition
miasto,City / town,noun active_recall Places Neuter
Translate: This October,ten październik,noun active_recall Months Masculine Inanimate recognition
brat,Brother,noun active_recall Family members Masculine Personal
pogoda,Weather,noun active_recall Weather & Nature Feminine
restauracja,Restaurant,noun active_recall Places Feminine
Translate: This Book,ta książka,noun active_recall Hobby nouns Feminine recognition
smutek,Sadness,noun active_recall Feelings & Emotions Masculine Inanimate
Translate: This Italy,ten Włochy,noun active_recall Countries Masculine Inanimate recognition
wiadomości,News / information,noun active_recall Leisure & culture Feminine
nauczyciel,Teacher,noun active_recall Jobs Masculine Personal
ptak,Bird,noun active_recall Animals Masculine Animal
tydzień,Week,noun active_recall Times Masculine Inanimate
przedmiot,Subject / school course,noun active_recall Education & science Masculine Inanimate
Translate: This Receipt,ten paragon,noun active_recall Shopping items Masculine Inanimate recognition
spodnie,Trousers / pants,noun active_recall Clothes Masculine Inanimate
Translate: This Shoes,ten buty,noun active_recall Clothes Masculine Inanimate recognition
sport,Sport,noun active_recall Hobby nouns Masculine Inanimate
plecy,Back,noun active_recall Body parts Masculine Inanimate
pociąg,Train,noun active_recall Transport Masculine Inanimate
córka,Daughter,noun active_recall Family members Feminine
Translate: This Music,ta muzyka,noun active_recall Hobby nouns Feminine recognition
bilet,Ticket,noun active_recall Transport Masculine Inanimate
tramwaj,Tram,noun active_recall Transport Masculine Inanimate
Translate: This Manager,ten menedżer,noun active_recall Jobs Masculine Personal recognition
park,Park,noun active_recall Places Masculine Inanimate
Translate: This Thursday,ten czwartek,noun active_recall Days Masculine Inanimate recognition
Translate: This Hotel,ten hotel,noun active_recall Places Masculine Inanimate recognition
kolega,Colleague,noun active_recall People Masculine Personal
Translate: This Hour,ta godzina,noun active_recall Times Feminine recognition
chuj,Dick,noun active_recall Curses Masculine
Translate: This Law,to prawo,noun active_recall Abstract concepts & state Neuter recognition
Translate: This Chair,to krzesło,noun active_recall Household items Neuter recognition
szkoła,School,noun active_recall Places Feminine
pasażer,Passenger,noun active_recall People Masculine Personal
Translate: This Post office,ta poczta,noun active_recall Jobs Feminine recognition
syn,Son,noun active_recall Family members Masculine Personal
Translate: This England,ta Anglia,noun active_recall Countries Feminine recognition
Translate: This Child,to dziecko,noun active_recall Family members Neuter recognition
mężczyzna,Man,noun active_recall People Masculine Personal
Translate: This Tuesday,ten wtorek,noun active_recall Days Masculine Inanimate recognition
Translate: This Cheese,ten ser,noun active_recall Foods Masculine Inanimate recognition
nauka,Science / knowledge,noun active_recall Education & science Feminine
grudzień,December,noun active_recall Months Masculine Inanimate
Translate: This Rule / principle,ta zasada,noun active_recall Abstract concepts & state Feminine recognition
Translate: This Government,ten rząd,noun active_recall Abstract concepts & state Masculine Inanimate recognition
niedziela,Sunday,noun active_recall Days Feminine
Translate: This Month,ten miesiąc,noun active_recall Times Masculine Inanimate recognition
Translate: This April,ten kwiecień,noun active_recall Months Masculine Inanimate recognition
Translate: This Time,ten Czas,noun active_recall Times Masculine Inanimate recognition
okno,Window,noun active_recall Household items Neuter
Translate: This Wind,ten wiatr,noun active_recall Weather & Nature Masculine Inanimate recognition
Translate: This November,ten listopad,noun active_recall Months Masculine Inanimate recognition
kobieta,Woman,noun active_recall People Feminine
Translate: This Office worker,ten urzędnik,noun active_recall Jobs Masculine Personal recognition
Translate: This February,ten luty,noun active_recall Months Masculine Inanimate recognition
wrzesień,September,noun active_recall Months Masculine Inanimate
prawnik,Lawyer,noun active_recall Jobs Masculine Personal
Translate: This Hobby,to hobby,noun active_recall Hobby nouns Neuter recognition
Translate: This France,ta Francja,noun active_recall Countries Feminine recognition
Translate: This Restaurant,ta restauracja,noun active_recall Places Feminine recognition
dziecko,Child,noun active_recall Family members Neuter
