Front,Back,Tags
Translate: późno,late,adverb active_recall theme::Time_&_Frequency recognition
Translate: often,często,adverb active_recall theme::Time_&_Frequency
Translate: szybko,fast / quickly,adverb active_recall theme::Manner_&_Quality recognition
Translate: zawsze,always,adverb active_recall theme::Time_&_Frequency recognition
Translate: currently,aktualnie,adverb active_recall theme::Time_&_Frequency
Translate: wystarczająco,enough,adverb active_recall theme::Degree_&_Quantity recognition
Translate: często,often,adverb active_recall theme::Time_&_Frequency recognition
Translate: quietly,cicho,adverb active_recall theme::Manner_&_Quality
Translate: wysoko,high up,adverb active_recall theme::Place_&_Direction recognition
Translate: raz w miesiącn,once a month,adverb active_recall theme::Time_&_Frequency recognition
Translate: świeżo,freshly,adverb active_recall theme::Sensory_&_Physical recognition
Translate: nicely / pleasantly,miło,adverb active_recall theme::Manner_&_Quality
Translate: near / close,blisko,adverb active_recall theme::Place_&_Direction
Translate: fast / quickly,szybko,adverb active_recall theme::Manner_&_Quality
